P(Et | Xt)
P(_ | _) = 1.0
P(a | a) = 0.796641036018
P(a | z) = 0.0659651962768
P(a | s) = 0.0690004046945
P(a | q) = 0.0683933630109
P(c | c) = 0.797387068202
P(c | f) = 0.0531443755536
P(c | v) = 0.0540301151461
P(c | d) = 0.0451727192205
P(c | x) = 0.0502657218778
P(b | b) = 0.807889344262
P(b | g) = 0.046618852459
P(b | n) = 0.0537909836066
P(b | v) = 0.047643442623
P(b | h) = 0.0440573770492
P(e | w) = 0.0669111991954
P(e | d) = 0.0664379104301
P(e | e) = 0.801751168432
P(e | r) = 0.0648997219429
P(d | d) = 0.804963708733
P(d | c) = 0.0412081479747
P(d | f) = 0.0339498946383
P(d | e) = 0.0407398735659
P(d | s) = 0.0407398735659
P(d | x) = 0.0383985015219
P(g | g) = 0.807045009785
P(g | f) = 0.0418786692759
P(g | b) = 0.0422700587084
P(g | h) = 0.0309197651663
P(g | t) = 0.0414872798434
P(g | v) = 0.0363992172211
P(f | f) = 0.807778849245
P(f | t) = 0.0327868852459
P(f | c) = 0.0337512054002
P(f | g) = 0.0363227258116
P(f | r) = 0.0292510446802
P(f | v) = 0.0289296046287
P(f | d) = 0.0311796849887
P(i | i) = 0.801313467947
P(i | o) = 0.0527347578906
P(i | u) = 0.0463634581455
P(i | j) = 0.0481278180749
P(i | k) = 0.0514604979416
P(h | j) = 0.0390625
P(h | h) = 0.79368622449
P(h | b) = 0.0438456632653
P(h | n) = 0.0452806122449
P(h | g) = 0.0400191326531
P(h | y) = 0.0381058673469
P(k | k) = 0.833333333333
P(k | i) = 0.0390070921986
P(k | j) = 0.0425531914894
P(k | m) = 0.0496453900709
P(k | l) = 0.0354609929078
P(j | j) = 0.752380952381
P(j | n) = 0.0380952380952
P(j | h) = 0.0285714285714
P(j | k) = 0.047619047619
P(j | u) = 0.104761904762
P(j | m) = 0.0285714285714
P(m | k) = 0.0668170284748
P(m | m) = 0.805187482379
P(m | j) = 0.065689314914
P(m | n) = 0.0623061742317
P(l | l) = 0.804624664879
P(l | k) = 0.0661863270777
P(l | o) = 0.066018766756
P(l | p) = 0.0631702412869
P(o | o) = 0.795182872435
P(o | l) = 0.0518287243533
P(o | i) = 0.0484388938448
P(o | p) = 0.0520071364853
P(o | k) = 0.0525423728814
P(n | n) = 0.796069868996
P(n | b) = 0.0522925764192
P(n | m) = 0.0484716157205
P(n | j) = 0.0505458515284
P(n | h) = 0.0526200873362
P(q | q) = 0.787671232877
P(q | w) = 0.116438356164
P(q | a) = 0.0958904109589
P(p | p) = 0.799080761655
P(p | l) = 0.1014445174
P(p | o) = 0.0994747209455
P(s | s) = 0.797973121833
P(s | a) = 0.0427406917823
P(s | d) = 0.0403172504957
P(s | x) = 0.042410222516
P(s | w) = 0.0385547477418
P(s | z) = 0.0380039656312
P(r | r) = 0.793277310924
P(r | e) = 0.050290885585
P(r | d) = 0.052617970265
P(r | f) = 0.0492566257272
P(r | t) = 0.0545572074984
P(u | u) = 0.805002689618
P(u | j) = 0.0443786982249
P(u | y) = 0.0476062399139
P(u | h) = 0.050833781603
P(u | i) = 0.0521785906401
P(t | y) = 0.0473025197094
P(t | f) = 0.0496985623744
P(t | t) = 0.802287834287
P(t | g) = 0.0496212706755
P(t | r) = 0.0510898129541
P(w | q) = 0.0517985611511
P(w | w) = 0.80479616307
P(w | a) = 0.0465227817746
P(w | e) = 0.0441247002398
P(w | s) = 0.052757793765
P(v | v) = 0.796883695047
P(v | b) = 0.0422927100723
P(v | f) = 0.053978853645
P(v | g) = 0.0606566499722
P(v | c) = 0.0461880912632
P(y | y) = 0.807276657061
P(y | h) = 0.0511527377522
P(y | t) = 0.0479106628242
P(y | g) = 0.0511527377522
P(y | u) = 0.042507204611
P(x | x) = 0.777358490566
P(x | d) = 0.0679245283019
P(x | c) = 0.0415094339623
P(x | s) = 0.0641509433962
P(x | z) = 0.0490566037736
P(z | z) = 0.776859504132
P(z | s) = 0.099173553719
P(z | x) = 0.0743801652893
P(z | a) = 0.0495867768595
P(Xt+1 | Xt)
P(y | _) = 0.0806410115044
P(r | _) = 0.0597640313155
P(n | _) = 0.0847208439005
P(t | _) = 0.10500974014
P(e | _) = 0.204984011468
P(s | _) = 0.129819531738
P(m | _) = 0.024184952402
P(a | _) = 0.0246260153637
P(f | _) = 0.0427095967949
P(g | _) = 0.0256551622744
P(k | _) = 0.00580732899621
P(h | _) = 0.0213547983975
P(l | _) = 0.0480391075826
P(d | _) = 0.0746499062741
P(o | _) = 0.0493622964678
P(b | _) = 0.000698349689418
P(x | _) = 0.00102914691072
P(w | _) = 0.00547653177491
P(p | _) = 0.00360201418753
P(c | _) = 0.00569706325578
P(u | _) = 0.00139669937884
P(i | _) = 0.000588083948984
P(q | _) = 0.000110265740434
P(v | _) = 7.3510493623e-05
P(_ | a) = 0.288944977284
P(r | a) = 0.0614840989399
P(e | a) = 0.060777385159
P(c | a) = 0.0732963149924
P(h | a) = 0.126602725896
P(i | a) = 0.0359414437153
P(u | a) = 0.0154467440687
P(m | a) = 0.0764260474508
P(v | a) = 0.0144371529531
P(g | a) = 0.0202927814235
P(l | a) = 0.0328117112569
P(n | a) = 0.032104997476
P(t | a) = 0.0461383139828
P(s | a) = 0.019485108531
P(d | a) = 0.00949015648662
P(b | a) = 0.00757193336699
P(o | a) = 0.00898536092882
P(p | a) = 0.0230186774356
P(w | a) = 0.0203937405351
P(z | a) = 0.00545179202423
P(f | a) = 0.0136294800606
P(x | a) = 0.00524987380111
P(y | a) = 0.00111055022716
P(j | a) = 0.000605754669359
P(k | a) = 0.000302877334679
P(a | c) = 0.0854681978799
P(c | c) = 0.0154593639576
P(n | c) = 0.0861307420495
P(_ | c) = 0.249558303887
P(y | c) = 0.0128091872792
P(i | c) = 0.17535335689
P(e | c) = 0.168948763251
P(o | c) = 0.0980565371025
P(t | c) = 0.00706713780919
P(s | c) = 0.0320229681979
P(r | c) = 0.0172261484099
P(u | c) = 0.0439487632509
P(x | c) = 0.0041961130742
P(f | c) = 0.00132508833922
P(d | c) = 0.000662544169611
P(l | c) = 0.00132508833922
P(b | c) = 0.000441696113074
P(i | b) = 0.0397959183673
P(_ | b) = 0.687244897959
P(e | b) = 0.00918367346939
P(o | b) = 0.0785714285714
P(m | b) = 0.019387755102
P(a | b) = 0.113775510204
P(u | b) = 0.0285714285714
P(r | b) = 0.00663265306122
P(h | b) = 0.00459183673469
P(y | b) = 0.00663265306122
P(s | b) = 0.0015306122449
P(b | b) = 0.00255102040816
P(t | b) = 0.00102040816327
P(h | e) = 0.156809453471
P(l | e) = 0.0606794682422
P(c | e) = 0.0380502215657
P(b | e) = 0.0475627769572
P(r | e) = 0.114977843427
P(v | e) = 0.0646381093058
P(e | e) = 0.0268833087149
P(n | e) = 0.0490989660266
P(s | e) = 0.0600295420975
P(z | e) = 0.00330871491876
P(t | e) = 0.0787001477105
P(u | e) = 0.00927621861152
P(_ | e) = 0.0496307237814
P(g | e) = 0.0224519940916
P(k | e) = 0.0124667651403
P(w | e) = 0.0283604135894
P(j | e) = 0.00100443131462
P(d | e) = 0.0445494830133
P(m | e) = 0.040059084195
P(i | e) = 0.0396454948301
P(f | e) = 0.0118168389956
P(p | e) = 0.031905465288
P(x | e) = 0.00153618906942
P(y | e) = 0.00295420974889
P(o | e) = 0.00348596750369
P(a | e) = 0.000118168389956
P(r | d) = 0.0268817204301
P(e | d) = 0.227442730248
P(l | d) = 0.0790088826554
P(n | d) = 0.266245909303
P(_ | d) = 0.18443197756
P(o | d) = 0.0530621785881
P(i | d) = 0.0724637681159
P(a | d) = 0.0656848994857
P(u | d) = 0.013090229079
P(d | d) = 0.00444132772324
P(w | d) = 0.00257129499766
P(k | d) = 0.00420757363254
P(t | d) = 0.000467508181393
P(n | g) = 0.357393679282
P(u | g) = 0.0628170113149
P(o | g) = 0.147093250098
P(a | g) = 0.0780335544284
P(i | g) = 0.0624268435427
P(e | g) = 0.0370659383535
P(_ | g) = 0.179087007413
P(g | g) = 0.0113148653921
P(r | g) = 0.0585251658213
P(d | g) = 0.00312134217714
P(t | g) = 0.000780335544284
P(s | g) = 0.000780335544284
P(y | g) = 0.000780335544284
P(f | g) = 0.000780335544284
P(_ | f) = 0.313461538462
P(o | f) = 0.330448717949
P(n | f) = 0.0205128205128
P(i | f) = 0.0884615384615
P(e | f) = 0.0967948717949
P(l | f) = 0.024358974359
P(f | f) = 0.0625
P(s | f) = 0.0230769230769
